id,title,description,link,categories_id,categories_title,sources_id,sources_url,date,type,coordinates
EONET_6469,Tropical Cyclone Alvaro,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6469,10,Severe Storms,JTWC,https://www.metoc.navy.mil/jtwc/products/sh0424.tcw,2023-12-31T12:00:00Z,Point,"[39, -20.4]"
EONET_6468,"Reykjanes Volcano, Iceland",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6468,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=371020,2023-12-19T00:00:00Z,Point,"[-22.717, 63.817]"
EONET_6465,Iceberg A82,,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6465,15,Sea and Lake Ice,NATICE,https://usicecenter.gov/pub/Iceberg_Tabular.csv,2023-12-15T00:00:00Z,Point,"[-72.42, -72.85]"
EONET_6463,"Ambae Volcano, Vanuatu",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6463,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=257030,2023-12-11T00:00:00Z,Point,"[167.835, -15.389]"
EONET_6464,"Yasur Volcano, Vanuatu",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6464,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=257100,2023-12-04T00:00:00Z,Point,"[169.447, -19.532]"
EONET_6462,"Marapi Volcano, Indonesia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6462,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=261140,2023-12-03T00:00:00Z,Point,"[100.474, -0.38]"
EONET_6461,"Krakatau Volcano, Indonesia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6461,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=262000,2023-11-26T00:00:00Z,Point,"[105.4233, -6.1009]"
EONET_6460,"Bagana Volcano, Papua New Guinea",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6460,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=255020,2023-11-24T00:00:00Z,Point,"[155.196, -6.137]"
EONET_6459,"Purace Volcano, Columbia",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6459,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=351060,2023-11-16T00:00:00Z,Point,"[-76.4, 2.32]"
EONET_6455,"Etna Volcano, Italy",,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6455,12,Volcanoes,SIVolcano,https://volcano.si.edu/volcano.cfm?vn=211060,2023-11-12T00:00:00Z,Point,"[14.999, 37.748]"
